VF_ID	log10(human/non_human)	Virulence_factor
CVF651	-0.46825	Trehalose-recycling ABC transporter (CVF651)
CVF494	-0.14052	LOS (CVF494)
CVF288	-0.37105	PDIM (phthiocerol dimycocerosate) and PGL (phenolic glycolipid) biosynthesis and transport (CVF288)
CVF551	-0.24839	Pyoverdine (CVF551)
CVF759	0.04410	MtrCDE (CVF759)
CVF658	-0.11466	Copper exporter (CVF658)
CVF521	-0.05892	Flagella (CVF521)
CVF523	-0.23179	Alginate regulation (CVF523)
CVF667	-0.10926	RegX3 (CVF667)
CVF529	-0.25889	GacS/GacA two-component system (CVF529)
CVF649	-0.32987	MymA operon (CVF649)
CVF197	-0.24678	ABC transporter (CVF197)
CVF333	-0.31675	MprA/B (CVF333)
CVF861	0.01527	T6SS-II (CVF861)
CVF775	-0.20154	Capsule (CVF775)
CVF845	-0.08879	Pyrimidine biosynthesis (CVF845)
CVF335	-0.21751	(p)ppGpp synthesis and hydrolysis (CVF335)
CVF773	-0.03679	AdeFGH efflux pump/transport autoinducer (CVF773)
CVF518	-0.13985	Type IV pili biosynthesis (CVF518)
CVF535	-0.05798	Hcp secretion island-1 encoded type VI secretion system (H-T6SS) (CVF535)
CVF453	-0.24144	Alpha-hemolysin (CVF453)
CVF854	-0.01265	Capsule (CVF854)
CVF587	0.03601	EF-Tu (CVF587)
CVF650	-0.43215	GPL locus (CVF650)
CVF859	0.16488	AcrAB (CVF859)
CVF501	-0.29521	Haemophilus iron transport locus (CVF501)
CVF522	0.05027	Alginate biosynthesis (CVF522)
CVF734	0.29687	SCI-I T6SS (CVF734)
CVF853	0.36397	T6SS-I (CVF853)
CVF318	0.54424	Nitrate reductase (CVF318)
CVF325	-0.40787	Sigma A (CVF325)
CVF643	0.13923	Flagella (CVF643)
CVF834	-0.06344	LPS (CVF834)
CVF758	0.00790	FarAB (CVF758)
CVF005	0.34583	Mg2+ transport (CVF005)
CVF849	0.12918	Ent siderophore (CVF849)
CVF316	-0.40355	ABC transporter (CVF316)
CVF299	-0.31493	Accessory secretion factor (CVF299)
CVF458	-0.05909	Yersiniabactin siderophore (CVF458)
CVF403	-0.24596	GroEL (CVF403)
CVF321	0.06761	Catalase-peroxidase (CVF321)
CVF186	-0.27763	Capsule (CVF186)
